Time_min,ReactorTemp,Pressure_bar,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Feed_Flow_m3_s,Coolant_delatT_K
0.0,313.09620232919906,1.2,6.869399428026692,800,0.0,0.0,5.077143200000023
0.5,313.53292986558245,1.2304370308117176,6.9009762207943695,800,0.0550548984498532,0.0010397473994925,8.388683228571438
1.0,314.01422840733005,1.2646872796743356,6.933023492371002,800,0.4294117265268034,0.0010683615089223,11.379812806802704
1.5,314.4532033289787,1.2986527869875637,6.9651405487129345,800,0.7441172898400943,0.0010544049010526,14.08108758710722
2.0,314.69820160552405,1.3312878757869884,6.997110308099147,800,0.8839764312184262,0.0010666408476582,16.519992540716032
2.5,315.114738750726,1.363236324452055,7.029336133024573,800,1.0,0.0010907882477774,15.426475641600234
3.0,315.4121645562513,1.394834920123753,7.061682712264869,800,1.0,0.0011024358677608,15.89537209478118
3.5,315.9121583530253,1.426405891419813,7.094153572741377,800,0.9988415359404604,0.0010740901453623,18.140563961944906
4.0,316.48696799456343,1.455240498418379,7.125502029625002,800,0.992248744989782,0.001047022454559,20.166929117950133
4.5,316.7547050294761,1.4846760295960983,7.158041445781988,800,1.0,0.0010731349291176,21.995525192431103
5.0,317.1599190219159,1.5,7.189908602807292,800,0.9997345637176372,0.0010544321883705,23.64497330743768
5.5,317.2424144696019,1.5,7.222240594376247,800,0.9882322111149632,0.0011144772060323,24.884455240062664
6.0,317.74644549553426,1.5,7.254417095308767,800,0.9923203312481385,0.0010624698939272,24.439170807675737
6.5,318.1723810208426,1.5,7.286411974740224,800,1.0,0.001064826289198,25.837389940278058
7.0,318.4756600006763,1.5,7.318474153218583,800,1.0,0.0010898300465898,27.097455650727795
7.5,318.7301771234621,1.5,7.350667513810071,800,1.0,0.0010550424626195,28.23231756018231
8.0,319.0912098829684,1.5,7.382525344754541,800,1.0,0.0010806217797194,27.136969344926854
8.5,319.30446397891444,1.5,7.414532951428833,800,0.991390926638356,0.0010677124417095,25.582786340648113
9.0,319.6187472147862,1.5,7.446688905720378,800,1.0,0.0010362599742195,26.841997422491147
9.5,320.1251015710775,1.5,7.478320135796377,800,1.0,0.0010490768001156,27.976688553682493
10.0,320.18457458291573,1.5,7.510405147205726,800,0.9877462909022684,0.0010453317451643,27.821305767617503
10.5,320.6779772029275,1.5,7.542497702099532,800,1.0,0.0010562424634777,27.615999599272982
11.0,320.3755528768519,1.5,7.574371282782615,800,1.0,0.0010582431861953,28.658417008866024
11.5,320.9274258299405,1.5,7.606745187624733,800,0.9924438369025644,0.0010883895874882,29.596801474688334
12.0,321.1841108164121,1.5,7.638957728373626,800,0.9700155469885148,0.0010995078964614,30.44094867709896
12.5,321.74121379581936,1.5,7.671528470355963,800,0.9798317943730086,0.0010796677841524,29.243059726899048
13.0,321.8584679989078,1.5,7.703549361013078,800,1.0,0.0010863363233734,30.108993610051527
13.5,322.054566837519,1.5,7.7358710733484415,800,1.0,0.0010752869970178,30.88762998052283
14.0,322.35333587512946,1.5,7.767978089793512,800,1.0,0.0010526717474803,31.587412306187332
14.5,322.5981209443275,1.5,7.800273548748656,800,0.99393100308841,0.0010902147417498,32.21593671512187
15.0,322.57870243413674,1.5,7.832524933530568,800,1.0,0.0010537429011734,32.779895323205494
