Time_min,Temperature_K,Temperature_Measured_K,Temperature_Setpoint_K,Pressure_bar,AceticAcid_Concentration_mol_m3,Ethanol_Concentration_mol_m3,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Coolant_In_Temp_K,Coolant_Out_Temp_K,Feed_Flow_m3_s
0.0,300.15,300.3516183348475,300.15,1.2,17468.776019983346,0.0,5.724499523355576,900,0.0,298.15,298.15,0.0
0.1,300.14076662358264,300.1743438130467,300.19,1.1992613298866126,17451.0942724767,17.334906323464494,5.73029381341105,900,0.1321269209046243,298.15,298.17731996157625,0.0009657150092456663
0.2,300.18700197416877,300.3591479289698,300.22999999999996,1.2,17427.88455247881,28.53831013258506,5.735999775272578,900,0.004324297728598907,298.15,298.8823672651577,0.0009509936435879716
0.30000000000000004,300.2671510958727,300.1196475815852,300.27,1.2,17400.6158672878,36.228127496039356,5.741807720205479,900,0.06894371631474158,298.15,298.2061955438453,0.0009679908221501876
0.4,300.3798380408932,300.4155284896416,300.31,1.2,17370.237569106775,41.74740203221022,5.747783770396232,900,0.0,298.15,300.2671510958727,0.00099600836512549
0.5,300.50244610951387,300.30946518486263,300.34999999999997,1.2,17338.061348747127,45.16981406069365,5.753722403438573,900,0.052920994530566035,298.15,298.22715513186176,0.0009897721737234181
0.6000000000000001,300.6389069415741,300.79517354708344,300.39,1.2,17304.826487511404,47.12994217049395,5.759605845006179,900,0.002476214403473747,298.15,299.405481704011,0.000980573594601018
0.7000000000000001,300.78010336941577,300.6357881932728,300.42999999999995,1.2,17271.011301629387,48.096803283817415,5.765432159399534,900,0.31327216494977306,298.15,298.16415350982845,0.0009710523988924819
0.8,300.9244146638823,300.9985219863321,300.46999999999997,1.2,17236.684268193563,48.658833515033,5.771288235906517,900,0.16314077314329564,298.15,298.1808088184017,0.000976012751163806
0.9,301.0716618991067,300.97688430175356,300.51,1.2,17202.092078827936,48.83655331876753,5.777136180229046,900,0.4336483485617585,298.15,298.16177227312477,0.0009746573870883119
1.0,301.22039668641867,300.94259352055445,300.54999999999995,1.2,17167.241426733824,48.880046502817926,5.783016925445283,900,0.4256250029614577,298.15,298.1624402453016,0.0009801242027060921
1.1,301.36956759868866,301.31052618670657,300.59,1.2,17132.26911333576,48.74225178981591,5.7888995858773615,900,0.35364562668700505,298.15,298.1664154594795,0.0009804434053464154
1.2000000000000002,301.51887116997017,301.3908764021439,300.63,1.2,17097.72182959284,48.005691983000915,5.794620981653576,900,0.6361216435417768,298.15,298.1597670280349,0.0009535659627024038
1.3,301.6666038570828,301.7471090273345,300.66999999999996,1.2,17063.31772749871,47.3847188547696,5.800349019161165,900,0.6843682473099045,298.15,298.1593776645541,0.0009546729179314803
1.4000000000000001,301.81246401486624,301.8614621671147,300.71,1.2,17028.725432005587,47.13666521535924,5.806183719072853,900,0.9894717593687721,298.15,298.1569899685096,0.0009724499852812765
1.5,301.9585597495457,301.8482210507279,300.75,1.2,16993.617359877735,47.324973414339965,5.812192252675508,900,0.99616939942442,298.15,298.1569950598459,0.0010014222671091574
1.6,302.10680746662365,302.06943263459624,300.78999999999996,1.2,16959.025871089576,46.58843976298669,5.8179673515855175,900,0.9885384174651278,298.15,298.1570215457203,0.000962516485001584
1.7000000000000002,302.25276419941565,302.21892374494433,300.83,1.2,16924.389004015433,46.179891668296875,5.8238177548221115,900,1.0,298.15,298.15743143887204,0.0009750672060990533
1.8,302.39831549962105,302.34343579194905,300.87,1.2,16890.0688112137,45.497149895519456,5.82957873976756,900,0.9932937294714024,298.15,298.1576392996535,0.0009601641575746431
1.9000000000000001,302.54159353048516,302.4010908246459,300.90999999999997,1.2,16856.04653223114,44.77334270050192,5.835292962732107,900,1.0,298.15,298.158162311141,0.000952370494091306
2.0,302.682652539296,302.6243905920599,300.95,1.2,16821.419448352197,44.96642222973897,5.841280043078524,900,0.9997878748474477,298.15,298.15850408250446,0.000997846724402827
